Trawl,Month,Fyrtömmad_skärlå,Lång,Makrill,Oxsimpa,Piggvar,Rödspät,Rötsimp,Sandskädd,Sill,Tunga,Skarpsill,Skrubbskädd,Stenbit,Tobis_sp,Tobiskung,Torsk,Tunga_1,Vitling,Column1
1,Juni,0,0,0,0,0,107,0,61,148,1,0,64,1,1,0,48,0,7,
2,Juni,0,1,0,0,0,6,0,0,1,0,0,255,0,0,0,116,0,8,
3,Juni,0,0,0,0,0,12,0,15,4,1,0,187,0,0,0,197,0,17,
4,Juni,0,0,0,0,0,61,0,62,50,0,0,89,1,0,0,274,0,25,
7,Juni,0,0,0,0,0,125,0,56,48,1,0,87,0,0,0,168,0,14,
5,Juni,0,2,0,0,0,491,0,159,11,0,0,664,0,0,0,1933,0,110,
6,Juni,0,0,0,0,0,131,0,47,30,1,0,120,1,0,0,247,0,12,
8,Juni,0,1,0,0,0,113,0,145,2,0,3,252,1,0,0,210,0,52,
9,Juni,0,0,0,0,0,113,1,161,3,3,1,0,0,0,0,161,0,28,
10,Juni,0,0,0,0,0,129,0,86,4,0,0,164,0,0,0,184,0,10,
